User_Message,Bot_Response
"Hello, how are you?","Hi there! I'm doing well, thank you. How can I help you today?"
What's the weather like today?,"I'm not sure about the weather, but I can look it up for you. Where are you located?"
Tell me a joke.,"Sure, here's one: Why did the scarecrow win an award? Because he was outstanding in his field!"
How can I reset my password?,"To reset your password, please go to our website and follow the 'Forgot Password' link."
Goodbye,Goodbye! Have a great day!
What's your favorite color?,"I don't have a favorite color, but I can help you with any questions you have."
Recommend a book to read.,Certainly! How about 'To Kill a Mockingbird' by Harper Lee? It's a classic.
Can you tell me a fun fact?,"Of course! Did you know that honey never spoils? Archaeologists have found pots of honey in ancient Egyptian tombs that are over 3,000 years old and still perfectly edible."
What's the capital of France?,The capital of France is Paris.
How can I contact customer support?,You can reach our customer support team at support@example.com or call our toll-free number at 1-800-123-4567.
